time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,class
0.071362793,8037856,70716,295375,661257,42542694,57420699,vgg16
0.081513359,6531729,60418,302245,558020,38959733,46338081,vgg16
0.09171756,6805154,60848,313233,562330,40116742,48315150,vgg16
0.101939503,7810065,85931,315476,703206,42575660,54780705,vgg16
0.112145126,7973399,88438,317094,738860,42763217,55506113,vgg16
0.122350369,16213739,120148,229591,382863,42262738,75752010,vgg16
0.132557598,21394372,64411,174366,245265,42736072,95929510,vgg16
0.142776053,16194135,131047,252308,358188,42731515,74381000,vgg16
0.152980319,13106348,425225,189917,593531,42615367,61486643,vgg16
0.163099038,41567834,343911,120909,443900,165483817,204624531,vgg16
0.173248385,74764381,306830,80627,328356,303487114,364473342,vgg16
0.18347229,48232443,248378,176045,493805,192110958,233669746,vgg16
0.193660609,11412738,409179,192734,807995,42304186,53278468,vgg16
0.203765437,12398134,396621,144460,587293,42075707,61750479,vgg16
0.213969956,12886649,390198,136028,684627,42593010,58341588,vgg16
0.224100541,11535522,460094,145883,667237,42264157,53188325,vgg16
0.234295184,11066600,477508,151721,740673,42588511,50773973,vgg16
0.244428447,14367707,365878,108707,386593,42134697,65646006,vgg16
0.254624352,14265761,341096,152938,476187,42668612,64508177,vgg16
0.26481743,15087976,373224,91359,330020,42640997,69267441,vgg16
0.275014477,13679136,403631,128339,513365,42674228,62320272,vgg16
0.285225176,11806529,313343,340268,858421,41995787,51517133,vgg16
0.295439784,9826529,289818,476725,1086733,40558721,41598900,vgg16
0.30565072,13385219,402650,132355,591667,42773291,60957664,vgg16
0.315847712,12815983,433997,125219,554667,42664428,59019128,vgg16
0.326036379,12135115,431578,152224,672187,42701140,55762961,vgg16
0.336239729,12279353,456320,143756,695813,42725722,55300992,vgg16
0.346430517,12269885,444724,160168,655712,42640362,55296392,vgg16
0.356649047,12321609,424424,174204,624448,42792089,55877258,vgg16
0.366862325,13887877,405974,117011,541152,42794001,62945104,vgg16
0.377056146,14314215,441037,92270,492794,42721151,65540549,vgg16
0.387261384,12693257,468668,133476,612706,42762337,58024098,vgg16
0.397471047,12799622,430401,144031,627258,42786016,58219160,vgg16
0.407675203,13232529,417844,109689,562343,42729124,61115293,vgg16
0.41787463,12020672,436499,141367,593327,42703137,55121150,vgg16
0.428073023,14564073,374774,97468,474149,42731856,66484511,vgg16
0.43826439,13738351,380664,128238,549157,42607764,63834872,vgg16
0.448460946,13115834,381853,163595,677276,42673812,60489675,vgg16
0.458661551,13723751,370500,134675,514924,42738181,62962960,vgg16
0.468843446,7921085,173412,895409,1521994,37208820,27468614,vgg16
0.479068558,5020414,186259,565848,1051524,36282695,20781429,vgg16
0.489271729,10456099,436063,220678,765389,42759501,47822767,vgg16
0.499480145,12274532,439704,138498,626592,42784975,56016397,vgg16
0.509699213,11919471,455836,153998,669118,42806952,54206200,vgg16
0.519892383,13189341,451091,130328,629349,42711963,59457268,vgg16
0.530083798,15190953,327783,31590,143809,42636433,71494901,vgg16
0.540310109,11632264,433646,161979,628643,42875422,53360440,vgg16
0.550511152,16178081,345166,105605,423408,42252277,74456827,vgg16
0.560657646,14529688,371703,104835,442798,41807844,67679547,vgg16
0.570853783,13047197,383921,176672,702522,42600614,62062275,vgg16
0.581050772,10804912,440562,177820,810446,42524625,49617006,vgg16
0.591255141,12265730,474276,129695,646010,42689454,55126118,vgg16
0.60144541,11879062,450904,121398,663913,42643458,54391261,vgg16
0.611658694,12868033,408644,141277,620302,42788853,58416606,vgg16
0.621873497,16235333,318321,67265,289358,42689511,75519938,vgg16
0.632002791,11106696,442159,173890,699495,42423659,50737849,vgg16
0.642202897,11429665,443446,179805,717777,42744894,51622099,vgg16
0.652396182,20768271,137511,44151,137644,42707446,97709726,vgg16
0.662582845,12601078,378733,130765,538666,42687873,58075285,vgg16
0.672799726,17600070,247529,105427,315551,42865853,81556783,vgg16
0.683016454,13765821,162959,222597,565461,41845810,63997629,vgg16
0.693243877,8413087,179548,998043,1613685,35437578,28197777,vgg16
